Date,City,Item,Category,Price
2026-01-01,Peshawar,Bread,Essentials,67
2026-01-01,Peshawar,Petrol,Fuel,275
2026-01-01,Peshawar,Diesel,Fuel,246
2026-01-01,Peshawar,Onion,Vegetables,52
2026-01-01,Peshawar,Tomato,Vegetables,101
2026-01-01,Peshawar,Potato,Vegetables,60
2026-01-01,Peshawar,Chicken,Protein,533
2026-01-01,Peshawar,Meat,Protein,1083
2026-01-01,Peshawar,Cooking Oil,Others,482
2026-01-01,Peshawar,Tea,Others,1680
2026-01-01,Quetta,Flour,Essentials,168
2026-01-01,Quetta,Sugar,Essentials,144
2026-01-01,Quetta,Rice,Essentials,160
2026-01-01,Quetta,Milk,Essentials,247
2026-01-01,Quetta,Eggs,Essentials,309
2026-01-01,Quetta,Bread,Essentials,70
2026-01-01,Quetta,Petrol,Fuel,277
2026-01-01,Quetta,Diesel,Fuel,249
2026-01-01,Quetta,Onion,Vegetables,76
2026-01-01,Quetta,Tomato,Vegetables,67
2026-01-01,Quetta,Potato,Vegetables,71
2026-01-01,Quetta,Chicken,Protein,567
2026-01-01,Quetta,Meat,Protein,1126
2026-01-01,Quetta,Cooking Oil,Others,484
2026-01-01,Quetta,Tea,Others,1655
2026-01-01,Sialkot,Flour,Essentials,160
2026-01-01,Sialkot,Sugar,Essentials,140
2026-01-01,Sialkot,Rice,Essentials,145
2026-01-01,Sialkot,Milk,Essentials,254
2026-01-01,Sialkot,Eggs,Essentials,308
2026-01-01,Sialkot,Bread,Essentials,60
2026-01-01,Sialkot,Petrol,Fuel,264
2026-01-01,Sialkot,Diesel,Fuel,237
2026-01-01,Sialkot,Onion,Vegetables,81
2026-01-01,Sialkot,Tomato,Vegetables,88
2026-01-01,Sialkot,Potato,Vegetables,46
2026-01-01,Sialkot,Chicken,Protein,520
2026-01-01,Sialkot,Meat,Protein,1069
2026-01-01,Sialkot,Cooking Oil,Others,449
2026-01-01,Sialkot,Tea,Others,1607
2026-01-01,Hyderabad,Flour,Essentials,146
2026-01-01,Hyderabad,Sugar,Essentials,148
2026-01-01,Hyderabad,Rice,Essentials,155
2026-01-01,Hyderabad,Milk,Essentials,245
2026-01-01,Hyderabad,Eggs,Essentials,318
2026-01-01,Hyderabad,Bread,Essentials,66
2026-01-01,Hyderabad,Petrol,Fuel,269
2026-01-01,Hyderabad,Diesel,Fuel,242
2026-01-01,Hyderabad,Onion,Vegetables,58
2026-01-01,Hyderabad,Tomato,Vegetables,79
2026-01-01,Hyderabad,Potato,Vegetables,55
2026-01-01,Hyderabad,Chicken,Protein,501
2026-01-01,Hyderabad,Meat,Protein,1144
2026-01-01,Hyderabad,Cooking Oil,Others,459
2026-01-01,Hyderabad,Tea,Others,1634
2026-01-01,Gujranwala,Flour,Essentials,172
2026-01-01,Gujranwala,Sugar,Essentials,135
2026-01-01,Gujranwala,Rice,Essentials,160
2026-01-01,Gujranwala,Milk,Essentials,251
2026-01-01,Gujranwala,Eggs,Essentials,297
2026-01-01,Gujranwala,Bread,Essentials,69
2026-01-01,Gujranwala,Petrol,Fuel,267
2026-01-01,Gujranwala,Diesel,Fuel,239
2026-01-01,Gujranwala,Onion,Vegetables,82
2026-01-01,Gujranwala,Tomato,Vegetables,50
2026-01-01,Gujranwala,Potato,Vegetables,47
2026-01-01,Gujranwala,Chicken,Protein,509
2026-01-01,Gujranwala,Meat,Protein,1076
2026-01-01,Gujranwala,Cooking Oil,Others,469
2026-01-01,Gujranwala,Tea,Others,1628
2026-01-01,Sukkur,Flour,Essentials,155
2026-01-01,Sukkur,Sugar,Essentials,135
2026-01-01,Sukkur,Rice,Essentials,138
2026-01-01,Sukkur,Milk,Essentials,237
2026-01-01,Sukkur,Eggs,Essentials,306
2026-01-01,Sukkur,Bread,Essentials,60
2026-01-01,Sukkur,Petrol,Fuel,261
2026-01-01,Sukkur,Diesel,Fuel,234
2026-01-01,Sukkur,Onion,Vegetables,63
2026-01-01,Sukkur,Tomato,Vegetables,95
2026-01-01,Sukkur,Potato,Vegetables,61
2026-01-01,Sukkur,Chicken,Protein,479
2026-01-01,Sukkur,Meat,Protein,1064
2026-01-01,Sukkur,Cooking Oil,Others,475
2026-01-01,Sukkur,Tea,Others,1588
2026-01-01,Bahawalpur,Flour,Essentials,141
2026-01-01,Bahawalpur,Sugar,Essentials,150
2026-01-01,Bahawalpur,Rice,Essentials,146
2026-01-01,Bahawalpur,Milk,Essentials,238
2026-01-01,Bahawalpur,Eggs,Essentials,320
2026-01-01,Bahawalpur,Bread,Essentials,72
2026-01-01,Bahawalpur,Petrol,Fuel,261
2026-01-01,Bahawalpur,Diesel,Fuel,234
2026-01-01,Bahawalpur,Onion,Vegetables,58
2026-01-01,Bahawalpur,Tomato,Vegetables,86
2026-01-01,Bahawalpur,Potato,Vegetables,65
2026-01-01,Bahawalpur,Chicken,Protein,509
2026-01-01,Bahawalpur,Meat,Protein,1054
2026-01-01,Bahawalpur,Cooking Oil,Others,477
2026-01-01,Bahawalpur,Tea,Others,1578
2026-01-01,Abbottabad,Flour,Essentials,156
2026-01-01,Abbottabad,Sugar,Essentials,147
2026-01-01,Abbottabad,Rice,Essentials,136
2026-01-01,Abbottabad,Milk,Essentials,250
2026-01-01,Abbottabad,Eggs,Essentials,319
2026-01-01,Abbottabad,Bread,Essentials,69
2026-01-01,Abbottabad,Petrol,Fuel,272
2026-01-01,Abbottabad,Diesel,Fuel,244
2026-01-01,Abbottabad,Onion,Vegetables,82
2026-01-01,Abbottabad,Tomato,Vegetables,84
2026-01-01,Abbottabad,Potato,Vegetables,59
2026-01-01,Abbottabad,Chicken,Protein,536
2026-01-01,Abbottabad,Meat,Protein,1073
2026-01-01,Abbottabad,Cooking Oil,Others,482
2026-01-01,Abbottabad,Tea,Others,1651
2026-01-01,Mirpur,Flour,Essentials,155
2026-01-01,Mirpur,Sugar,Essentials,140
2026-01-01,Mirpur,Rice,Essentials,144
2026-01-01,Mirpur,Milk,Essentials,246
2026-01-01,Mirpur,Eggs,Essentials,315
2026-01-01,Mirpur,Bread,Essentials,62
2026-01-01,Mirpur,Petrol,Fuel,267
2026-01-01,Mirpur,Diesel,Fuel,239
2026-01-01,Mirpur,Onion,Vegetables,67
2026-01-01,Mirpur,Tomato,Vegetables,83
2026-01-01,Mirpur,Potato,Vegetables,55
2026-01-01,Mirpur,Chicken,Protein,504
2026-01-01,Mirpur,Meat,Protein,1062
2026-01-01,Mirpur,Cooking Oil,Others,460
2026-01-01,Mirpur,Tea,Others,1641
2026-01-02,Karachi,Flour,Essentials,178
2026-01-02,Karachi,Sugar,Essentials,147
2026-01-02,Karachi,Rice,Essentials,142
2026-01-02,Karachi,Milk,Essentials,256
2026-01-02,Karachi,Eggs,Essentials,325
2026-01-02,Karachi,Bread,Essentials,68
2026-01-02,Karachi,Petrol,Fuel,280
2026-01-02,Karachi,Diesel,Fuel,251
2026-01-02,Karachi,Onion,Vegetables,81
2026-01-02,Karachi,Tomato,Vegetables,85
2026-01-02,Karachi,Potato,Vegetables,50
2026-01-02,Karachi,Chicken,Protein,543
2026-01-02,Karachi,Meat,Protein,1168
2026-01-02,Karachi,Cooking Oil,Others,495
2026-01-02,Karachi,Tea,Others,1663
2026-01-02,Lahore,Flour,Essentials,155
2026-01-02,Lahore,Sugar,Essentials,147
2026-01-02,Lahore,Rice,Essentials,153
2026-01-02,Lahore,Milk,Essentials,246
2026-01-02,Lahore,Eggs,Essentials,305
2026-01-02,Lahore,Bread,Essentials,67
2026-01-02,Lahore,Petrol,Fuel,272
2026-01-02,Lahore,Diesel,Fuel,244
2026-01-02,Lahore,Onion,Vegetables,83
2026-01-02,Lahore,Tomato,Vegetables,64
2026-01-02,Lahore,Potato,Vegetables,57
2026-01-02,Lahore,Chicken,Protein,514
2026-01-02,Lahore,Meat,Protein,1106
2026-01-02,Lahore,Cooking Oil,Others,486
2026-01-02,Lahore,Tea,Others,1676
2026-01-02,Islamabad,Flour,Essentials,174
2026-01-02,Islamabad,Sugar,Essentials,158
2026-01-02,Islamabad,Rice,Essentials,162
2026-01-02,Islamabad,Milk,Essentials,260
2026-01-02,Islamabad,Eggs,Essentials,336
2026-01-02,Islamabad,Bread,Essentials,68
2026-01-02,Islamabad,Petrol,Fuel,277
2026-01-02,Islamabad,Diesel,Fuel,249
2026-01-02,Islamabad,Onion,Vegetables,67
2026-01-02,Islamabad,Tomato,Vegetables,96
2026-01-02,Islamabad,Potato,Vegetables,56
2026-01-02,Islamabad,Chicken,Protein,514
2026-01-02,Islamabad,Meat,Protein,1103
2026-01-02,Islamabad,Cooking Oil,Others,485
2026-01-02,Islamabad,Tea,Others,1675
2026-01-02,Faisalabad,Flour,Essentials,156
2026-01-02,Faisalabad,Sugar,Essentials,142
2026-01-02,Faisalabad,Rice,Essentials,143
2026-01-02,Faisalabad,Milk,Essentials,248
2026-01-02,Faisalabad,Eggs,Essentials,313
2026-01-02,Faisalabad,Bread,Essentials,74
2026-01-02,Faisalabad,Petrol,Fuel,267
2026-01-02,Faisalabad,Diesel,Fuel,239
2026-01-02,Faisalabad,Onion,Vegetables,53
2026-01-02,Faisalabad,Tomato,Vegetables,84
2026-01-02,Faisalabad,Potato,Vegetables,69
2026-01-02,Faisalabad,Chicken,Protein,521
2026-01-02,Faisalabad,Meat,Protein,1090
2026-01-02,Faisalabad,Cooking Oil,Others,460
2026-01-02,Faisalabad,Tea,Others,1593
2026-01-02,Rawalpindi,Flour,Essentials,159
2026-01-02,Rawalpindi,Sugar,Essentials,138
2026-01-02,Rawalpindi,Rice,Essentials,145
2026-01-02,Rawalpindi,Milk,Essentials,243
2026-01-02,Rawalpindi,Eggs,Essentials,307
2026-01-02,Rawalpindi,Bread,Essentials,63
2026-01-02,Rawalpindi,Petrol,Fuel,269
2026-01-02,Rawalpindi,Diesel,Fuel,242
2026-01-02,Rawalpindi,Onion,Vegetables,58
2026-01-02,Rawalpindi,Tomato,Vegetables,60
2026-01-02,Rawalpindi,Potato,Vegetables,47
2026-01-02,Rawalpindi,Chicken,Protein,529
2026-01-02,Rawalpindi,Meat,Protein,1124
2026-01-02,Rawalpindi,Cooking Oil,Others,462
2026-01-02,Rawalpindi,Tea,Others,1609
2026-01-02,Multan,Flour,Essentials,166
2026-01-02,Multan,Sugar,Essentials,149
2026-01-02,Multan,Rice,Essentials,156
2026-01-02,Multan,Milk,Essentials,245
2026-01-02,Multan,Eggs,Essentials,280
2026-01-02,Multan,Bread,Essentials,63
2026-01-02,Multan,Petrol,Fuel,264
2026-01-02,Multan,Diesel,Fuel,237
2026-01-02,Multan,Onion,Vegetables,63
2026-01-02,Multan,Tomato,Vegetables,98
2026-01-02,Multan,Potato,Vegetables,50
2026-01-02,Multan,Chicken,Protein,510
2026-01-02,Multan,Meat,Protein,1113
2026-01-02,Multan,Cooking Oil,Others,448
2026-01-02,Multan,Tea,Others,1596
2026-01-02,Peshawar,Flour,Essentials,172
2026-01-02,Peshawar,Sugar,Essentials,146
2026-01-02,Peshawar,Rice,Essentials,161
2026-01-02,Peshawar,Milk,Essentials,248
2026-01-02,Peshawar,Eggs,Essentials,328
2026-01-02,Peshawar,Bread,Essentials,69
2026-01-02,Peshawar,Petrol,Fuel,275
2026-01-02,Peshawar,Diesel,Fuel,246
2026-01-02,Peshawar,Onion,Vegetables,75
2026-01-02,Peshawar,Tomato,Vegetables,76
2026-01-02,Peshawar,Potato,Vegetables,54
2026-01-02,Peshawar,Chicken,Protein,556
2026-01-02,Peshawar,Meat,Protein,1114
2026-01-02,Peshawar,Cooking Oil,Others,496
2026-01-02,Peshawar,Tea,Others,1672
2026-01-02,Quetta,Flour,Essentials,177
2026-01-02,Quetta,Sugar,Essentials,149
2026-01-02,Quetta,Rice,Essentials,157
2026-01-02,Quetta,Milk,Essentials,256
2026-01-02,Quetta,Eggs,Essentials,319
2026-01-02,Quetta,Bread,Essentials,71
2026-01-02,Quetta,Petrol,Fuel,277
2026-01-02,Quetta,Diesel,Fuel,249
2026-01-02,Quetta,Onion,Vegetables,76
2026-01-02,Quetta,Tomato,Vegetables,87
2026-01-02,Quetta,Potato,Vegetables,47
2026-01-02,Quetta,Chicken,Protein,542
2026-01-02,Quetta,Meat,Protein,1123
2026-01-02,Quetta,Cooking Oil,Others,495
2026-01-02,Quetta,Tea,Others,1682
2026-01-02,Sialkot,Flour,Essentials,152
2026-01-02,Sialkot,Sugar,Essentials,136
2026-01-02,Sialkot,Rice,Essentials,152
2026-01-02,Sialkot,Milk,Essentials,246
2026-01-02,Sialkot,Eggs,Essentials,309
2026-01-02,Sialkot,Bread,Essentials,59
2026-01-02,Sialkot,Petrol,Fuel,264
2026-01-02,Sialkot,Diesel,Fuel,237
2026-01-02,Sialkot,Onion,Vegetables,68
2026-01-02,Sialkot,Tomato,Vegetables,83
2026-01-02,Sialkot,Potato,Vegetables,54
2026-01-02,Sialkot,Chicken,Protein,516
2026-01-02,Sialkot,Meat,Protein,1071
2026-01-02,Sialkot,Cooking Oil,Others,454
2026-01-02,Sialkot,Tea,Others,1568
2026-01-02,Hyderabad,Flour,Essentials,165
2026-01-02,Hyderabad,Sugar,Essentials,134
2026-01-02,Hyderabad,Rice,Essentials,155
2026-01-02,Hyderabad,Milk,Essentials,254
2026-01-02,Hyderabad,Eggs,Essentials,293
2026-01-02,Hyderabad,Bread,Essentials,62
2026-01-02,Hyderabad,Petrol,Fuel,269
2026-01-02,Hyderabad,Diesel,Fuel,242
2026-01-02,Hyderabad,Onion,Vegetables,48
2026-01-02,Hyderabad,Tomato,Vegetables,75
2026-01-02,Hyderabad,Potato,Vegetables,66
2026-01-02,Hyderabad,Chicken,Protein,519
2026-01-02,Hyderabad,Meat,Protein,1114
2026-01-02,Hyderabad,Cooking Oil,Others,487
2026-01-02,Hyderabad,Tea,Others,1628
2026-01-02,Gujranwala,Flour,Essentials,143
2026-01-02,Gujranwala,Sugar,Essentials,152
2026-01-02,Gujranwala,Rice,Essentials,156
2026-01-02,Gujranwala,Milk,Essentials,239
2026-01-02,Gujranwala,Eggs,Essentials,284
2026-01-02,Gujranwala,Bread,Essentials,66
2026-01-02,Gujranwala,Petrol,Fuel,267
2026-01-02,Gujranwala,Diesel,Fuel,239
2026-01-02,Gujranwala,Onion,Vegetables,73
2026-01-02,Gujranwala,Tomato,Vegetables,96
2026-01-02,Gujranwala,Potato,Vegetables,57
2026-01-02,Gujranwala,Chicken,Protein,516
2026-01-02,Gujranwala,Meat,Protein,1096
2026-01-02,Gujranwala,Cooking Oil,Others,480
2026-01-02,Gujranwala,Tea,Others,1626
2026-01-02,Sukkur,Flour,Essentials,168
2026-01-02,Sukkur,Sugar,Essentials,130
2026-01-02,Sukkur,Rice,Essentials,145
2026-01-02,Sukkur,Milk,Essentials,229
2026-01-02,Sukkur,Eggs,Essentials,283
2026-01-02,Sukkur,Bread,Essentials,65
2026-01-02,Sukkur,Petrol,Fuel,261
2026-01-02,Sukkur,Diesel,Fuel,234
2026-01-02,Sukkur,Onion,Vegetables,65
2026-01-02,Sukkur,Tomato,Vegetables,86
2026-01-02,Sukkur,Potato,Vegetables,65
2026-01-02,Sukkur,Chicken,Protein,522
2026-01-02,Sukkur,Meat,Protein,1091
2026-01-02,Sukkur,Cooking Oil,Others,461
2026-01-02,Sukkur,Tea,Others,1606
2026-01-02,Bahawalpur,Flour,Essentials,156
2026-01-02,Bahawalpur,Sugar,Essentials,131
2026-01-02,Bahawalpur,Rice,Essentials,154
2026-01-02,Bahawalpur,Milk,Essentials,231
2026-01-02,Bahawalpur,Eggs,Essentials,310
2026-01-02,Bahawalpur,Bread,Essentials,71
2026-01-02,Bahawalpur,Petrol,Fuel,261
2026-01-02,Bahawalpur,Diesel,Fuel,234
2026-01-02,Bahawalpur,Onion,Vegetables,57
2026-01-02,Bahawalpur,Tomato,Vegetables,59
2026-01-02,Bahawalpur,Potato,Vegetables,46
2026-01-02,Bahawalpur,Chicken,Protein,504
2026-01-02,Bahawalpur,Meat,Protein,1084
2026-01-02,Bahawalpur,Cooking Oil,Others,483
2026-01-02,Bahawalpur,Tea,Others,1582
2026-01-02,Abbottabad,Flour,Essentials,154
2026-01-02,Abbottabad,Sugar,Essentials,148
2026-01-02,Abbottabad,Rice,Essentials,158
2026-01-02,Abbottabad,Milk,Essentials,252
2026-01-02,Abbottabad,Eggs,Essentials,302
2026-01-02,Abbottabad,Bread,Essentials,65
2026-01-02,Abbottabad,Petrol,Fuel,272
2026-01-02,Abbottabad,Diesel,Fuel,244
2026-01-02,Abbottabad,Onion,Vegetables,83
2026-01-02,Abbottabad,Tomato,Vegetables,83
2026-01-02,Abbottabad,Potato,Vegetables,59
2026-01-02,Abbottabad,Chicken,Protein,541
2026-01-02,Abbottabad,Meat,Protein,1092
2026-01-02,Abbottabad,Cooking Oil,Others,487
2026-01-02,Abbottabad,Tea,Others,1644
2026-01-02,Mirpur,Flour,Essentials,172
2026-01-02,Mirpur,Sugar,Essentials,143
2026-01-02,Mirpur,Rice,Essentials,140
2026-01-02,Mirpur,Milk,Essentials,250
2026-01-02,Mirpur,Eggs,Essentials,306
2026-01-02,Mirpur,Bread,Essentials,71
2026-01-02,Mirpur,Petrol,Fuel,267
2026-01-02,Mirpur,Diesel,Fuel,239
2026-01-02,Mirpur,Onion,Vegetables,71
2026-01-02,Mirpur,Tomato,Vegetables,83
2026-01-02,Mirpur,Potato,Vegetables,53
2026-01-02,Mirpur,Chicken,Protein,505
2026-01-02,Mirpur,Meat,Protein,1065
2026-01-02,Mirpur,Cooking Oil,Others,492
2026-01-02,Mirpur,Tea,Others,1598
2026-01-03,Karachi,Flour,Essentials,175
2026-01-03,Karachi,Sugar,Essentials,156
2026-01-03,Karachi,Rice,Essentials,159
2026-01-03,Karachi,Milk,Essentials,262
2026-01-03,Karachi,Eggs,Essentials,322
2026-01-03,Karachi,Bread,Essentials,76
2026-01-03,Karachi,Petrol,Fuel,280
2026-01-03,Karachi,Diesel,Fuel,251
2026-01-03,Karachi,Onion,Vegetables,93
2026-01-03,Karachi,Tomato,Vegetables,89
2026-01-03,Karachi,Potato,Vegetables,64
2026-01-03,Karachi,Chicken,Protein,555
2026-01-03,Karachi,Meat,Protein,1117
2026-01-03,Karachi,Cooking Oil,Others,509
2026-01-03,Karachi,Tea,Others,1686
2026-01-03,Lahore,Flour,Essentials,161
2026-01-03,Lahore,Sugar,Essentials,149
2026-01-03,Lahore,Rice,Essentials,150
2026-01-03,Lahore,Milk,Essentials,247
2026-01-03,Lahore,Eggs,Essentials,309
2026-01-03,Lahore,Bread,Essentials,69
2026-01-03,Lahore,Petrol,Fuel,272
2026-01-03,Lahore,Diesel,Fuel,244
2026-01-03,Lahore,Onion,Vegetables,83
2026-01-03,Lahore,Tomato,Vegetables,94
2026-01-03,Lahore,Potato,Vegetables,66
2026-01-03,Lahore,Chicken,Protein,549
2026-01-03,Lahore,Meat,Protein,1080
2026-01-03,Lahore,Cooking Oil,Others,493
2026-01-03,Lahore,Tea,Others,1667
2026-01-03,Islamabad,Flour,Essentials,166
2026-01-03,Islamabad,Sugar,Essentials,153
2026-01-03,Islamabad,Rice,Essentials,156
2026-01-03,Islamabad,Milk,Essentials,260
2026-01-03,Islamabad,Eggs,Essentials,320
2026-01-03,Islamabad,Bread,Essentials,75
2026-01-03,Islamabad,Petrol,Fuel,277
2026-01-03,Islamabad,Diesel,Fuel,249
2026-01-03,Islamabad,Onion,Vegetables,91
2026-01-03,Islamabad,Tomato,Vegetables,76
2026-01-03,Islamabad,Potato,Vegetables,67
2026-01-03,Islamabad,Chicken,Protein,541
2026-01-03,Islamabad,Meat,Protein,1110
2026-01-03,Islamabad,Cooking Oil,Others,513
2026-01-03,Islamabad,Tea,Others,1694
2026-01-03,Faisalabad,Flour,Essentials,152
2026-01-03,Faisalabad,Sugar,Essentials,151
2026-01-03,Faisalabad,Rice,Essentials,162
2026-01-03,Faisalabad,Milk,Essentials,241
2026-01-03,Faisalabad,Eggs,Essentials,298
2026-01-03,Faisalabad,Bread,Essentials,64
2026-01-03,Faisalabad,Petrol,Fuel,267
2026-01-03,Faisalabad,Diesel,Fuel,239
2026-01-03,Faisalabad,Onion,Vegetables,79
2026-01-03,Faisalabad,Tomato,Vegetables,55
2026-01-03,Faisalabad,Potato,Vegetables,66
2026-01-03,Faisalabad,Chicken,Protein,521
2026-01-03,Faisalabad,Meat,Protein,1062
2026-01-03,Faisalabad,Cooking Oil,Others,463
2026-01-03,Faisalabad,Tea,Others,1606
2026-01-03,Rawalpindi,Flour,Essentials,173
2026-01-03,Rawalpindi,Sugar,Essentials,138
2026-01-03,Rawalpindi,Rice,Essentials,151
2026-01-03,Rawalpindi,Milk,Essentials,249
2026-01-03,Rawalpindi,Eggs,Essentials,311
2026-01-03,Rawalpindi,Bread,Essentials,64
2026-01-03,Rawalpindi,Petrol,Fuel,269
2026-01-03,Rawalpindi,Diesel,Fuel,242
2026-01-03,Rawalpindi,Onion,Vegetables,64
2026-01-03,Rawalpindi,Tomato,Vegetables,90
2026-01-03,Rawalpindi,Potato,Vegetables,63
2026-01-03,Rawalpindi,Chicken,Protein,548
2026-01-03,Rawalpindi,Meat,Protein,1086
2026-01-03,Rawalpindi,Cooking Oil,Others,488
2026-01-03,Rawalpindi,Tea,Others,1616
2026-01-03,Multan,Flour,Essentials,164
2026-01-03,Multan,Sugar,Essentials,143
2026-01-03,Multan,Rice,Essentials,150
2026-01-03,Multan,Milk,Essentials,246
2026-01-03,Multan,Eggs,Essentials,315
2026-01-03,Multan,Bread,Essentials,72
2026-01-03,Multan,Petrol,Fuel,264
2026-01-03,Multan,Diesel,Fuel,237
2026-01-03,Multan,Onion,Vegetables,83
2026-01-03,Multan,Tomato,Vegetables,82
2026-01-03,Multan,Potato,Vegetables,56
2026-01-03,Multan,Chicken,Protein,511
2026-01-03,Multan,Meat,Protein,1075
2026-01-03,Multan,Cooking Oil,Others,453
2026-01-03,Multan,Tea,Others,1622
2026-01-03,Peshawar,Flour,Essentials,171
2026-01-03,Peshawar,Sugar,Essentials,152
2026-01-03,Peshawar,Rice,Essentials,163
2026-01-03,Peshawar,Milk,Essentials,260
2026-01-03,Peshawar,Eggs,Essentials,303
2026-01-03,Peshawar,Bread,Essentials,73
2026-01-03,Peshawar,Petrol,Fuel,275
2026-01-03,Peshawar,Diesel,Fuel,246
2026-01-03,Peshawar,Onion,Vegetables,94
2026-01-03,Peshawar,Tomato,Vegetables,112
2026-01-03,Peshawar,Potato,Vegetables,72
2026-01-03,Peshawar,Chicken,Protein,538
2026-01-03,Peshawar,Meat,Protein,1091
2026-01-03,Peshawar,Cooking Oil,Others,490
2026-01-03,Peshawar,Tea,Others,1679
2026-01-03,Quetta,Flour,Essentials,180
2026-01-03,Quetta,Sugar,Essentials,138
2026-01-03,Quetta,Rice,Essentials,152
2026-01-03,Quetta,Milk,Essentials,261
2026-01-03,Quetta,Eggs,Essentials,301
2026-01-03,Quetta,Bread,Essentials,78
2026-01-03,Quetta,Petrol,Fuel,277
2026-01-03,Quetta,Diesel,Fuel,249
2026-01-03,Quetta,Onion,Vegetables,65
2026-01-03,Quetta,Tomato,Vegetables,89
